poeta	fabula	fpid	line_number_first	line_number_last	numlines	char_numlines	nomen	genus_personae	line_first	line_last	z_old_text	meter_before	meter_after	closure	comments_on_length	comments_other	meter	metertype
Terentius	Adelphoe	63279065635V467	611a	612a	3	3	Aeschinus	adulama	nec quid agam certum siet!	animus timore obstipuit,	nec quid agam certum siet! membra metu debilia sunt;  animus timore obstipuit,	cho2	cho2crcol	comma			wil	aeolic
Terentius	Adelphoe	63279066156V849	615	615	1	1	Aeschinus	adulama	tanta nunc suspicio de	tanta nunc suspicio de	tanta nunc suspicio de	crcolcolreiz	wil	none			tr4	tr
Terentius	Adelphoe	63279066272V98	615a	615a	1	1	Aeschinus	adulama	me incidit neque ea immerito:	me incidit neque ea immerito:	me incidit neque ea immerito:	tr4	cho2				wil	aeolic
Terentius	Adelphoe	63279066427V326	616a	616a	1	1	Aeschinus	adulama	psaltriam hanc emisse; id anus	psaltriam hanc emisse; id anus		cho2	colreiz	none			wil	aeolic
Terentius	Adelphoe	63279066489V803	617	617	1	1	Aeschinus	adulama	mi indicium fecit.	mi indicium fecit.	mi indicium fecit.	wil	tr7			For Ad. 610-617 I use text and scansion of Questa, Numeri innumeri, 399-415	colreiz	reiz
Terentius	Adelphoe	TM000625	613	613	1	1	Aeschinus	adulama	pectore consistere nil   consili quit. vah!	pectore consistere nil   consili quit. vah!	pectore consistere nil   consili quit. vah!	wil	crcolcolreiz	exclamation		see Martin’s Ad. comm., 246-247 on this canticum. Martin calls this a catalectic cretic dimeter + hemiepes	cho2crcol	aeolic
Terentius	Adelphoe	TM000625	613	613	1	1	Aeschinus	adulama	pectore consistere nil   consili quit. vah!	pectore consistere nil   consili quit. vah!	pectore consistere nil   consili quit. vah!	wil	crcolcolreiz	exclamation		see Martin’s Ad. comm., 246-247 on this canticum. Martin calls this a catalectic cretic dimeter + hemiepes	crcol	cr
Terentius	Adelphoe	TM000627	611	611	1	1	Aeschinus	adulama	ut neque quid me faciam	ut neque quid me faciam	ut neque quid me faciam	ia4crcol	wil	none		cf. Martin’s Ad. comm., 246-247 on this canticum.  Martin calls this a choriambic dimeter + choriambic dimeter (with x - u - substituted as second element)	cho2	aeolic
Terentius	Adelphoe	TM000628	616	616	1	1	Aeschinus	adulama	Sostrata credit mihi me	Sostrata credit mihi me	Sostrata credit mihi me	wil	wil	none	note momentum of choriambs	see Martin’s Ad. comm., 246-247 on this canticum. he has one long choriambic line for summation of problem	cho2	aeolic
Terentius	Adelphoe	TM001031	610	610	1	1	Aeschinus	adulama	discrucior animi:	discrucior animi:	discrucior animi:	ia8	ia4crcol	colon	2 true dactyls + long	lyrics for lover’s lament; opening of canticum; note this is first we have seen of AE since opening scene; canticum is especially important in contrasting our previous impression of him; now he is young lover: following Plautine tradition, but it is so late;  For Ad. 610-617 I use text nd scansion of Questa Num. 399-415	colreiz	reiz
Terentius	Adelphoe	TM001264	707	711	5	5	Aeschinus	adulama	quid hoc est negoti? hoc est patrem esse aut hoc est filium esse?	ne inprudens forte faciam quod nolit: sciens cavebo.	quid hoc est negoti? hoc est patrem esse aut hoc est filium esse?   ne inprudens forte faciam quod nolit: sciens cavebo.	tr7	ia8	per end of thought last before sed and entrance	res: 707 1 708 2 709 0 710 4 711 2	Aeschinus’ fulsome praise of MI in monologue; ia7 for high emotion (joy and gratitude)	ia7	ia
Terentius	Adelphoe	TM001450	159	159	1	1	Aeschinus	adulama	quamquamst scelestu’ non committet hodie umquam iterum ut vapulet.	quamquamst scelestu’ non committet hodie umquam iterum ut vapulet.	quamquamst scelestu’ non committet hodie umquam iterum ut vapulet.	tr4cat	tr8	per end of speech	starts longs, 2 res	ia8 for contempt; he breaks San’s determined trochees (Maurach says this is continuati, following L-K app. crit.: this would make it not ia8, but more trochees)	ia8	ia
Terentius	Adelphoe	TM001452	170	196	27	23	Aeschinus	adulama	cave nunciam oculos a meis oculis quoquam demoveas tuos	AE. delibera hoc dum ego redeo, leno.  SA. pro supreme Iuppiter,	cave nunciam oculos a meis oculis quoquam demoveas tuos...    AE. delibera hoc dum ego redeo, leno.  SA. pro supreme Iuppiter,	tr7	tr7	comma	170 repeated ocul; 5 res (contrast earlier commands); 176 no res	starts with command: continues through exit of AE (last line includes opening of Sannio’s monologue); back to AE’s original meter (159)	ia8	ia
Terentius	Adelphoe	TM001454	254	287	34	10	Aeschinus	adulama	abs quivis homine, quom est opus, beneficium accipere gaudeas;	ita quaeso.  quando hoc bene successit, hilare[m] hunc sumamus diem.	SY. de amica.  SA. quid quod te oro?  SY. paullisper mane. verum enimvero id demum iuvat si quem aequomst facere is bene facit....   CT. ita quaeso.  quando hoc bene successit, hilare[m] hunc sumamus diem.	ia6	tr7	per end of scene (all exit)	254-255, 287 and Ctesipho’s lines in general, many res; but note longs for frater frater (256) and Aeschinus (260), festivom caput (261) ipse exit foras (264), 268 fratrem: o mi Aeschine, o me germane! ah (268-269); 277 longs for ego a forum ibo ut hunc absolvam	Ctesipho praises brother; AE rebukes CT, SA taken care of; back to ia8: same for AE, CT, SY, opposed to tr7 and ia6 of SA	ia8	ia
